waitTime,numInQueue,sessionTime,hoursToDeadline,signUpTimeClean,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary,TAsPerSession
14,3,0.01,125.2166667,44444.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
8,6,0.0,53.03333333,55556.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
24,1,0.0,53.3,44444.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
5,8,0.02,125.0166667,77778.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
7,7,0.01,52.98333333,88889.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
27,0,0.01,53.31666667,6.775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
16,5,0.0,53.08333333,22222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
21,4,0.02,125.2,88889.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
33,2,0.01,53.28333333,88889.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
9,6,0.01,52.88333333,55556.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
11,4,0.01,52.83333333,88889.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
15,4,0.01,52.83333333,88889.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
14,2,0.02,124.75,88889.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
8,1,0.01,124.5333333,66667.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
8,1,0.02,52.46666667,66667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
12,2,0.0,52.38333333,88889.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
10,1,0.0,52.33333333,22222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
1,2,0.0,52.3,11111.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
4,2,0.0,124.2666667,77778.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
8,2,0.01,52.18333333,22222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
5,1,0.01,52.1,44444.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
3,2,0.0,52.06666667,33333.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
2,0,0.0,124.0166667,44444.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
1,0,0.01,51.9,77778.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
0,0,0.02,51.83333333,55556.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
0,0,0.0,51.81666667,0.8375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
1,0,0.01,51.8,44444.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
0,0,0.01,51.73333333,22222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
2,0,0.0,51.73333333,22222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
2,1,0.01,51.71666667,66667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
0,0,0.01,123.65,22222.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
